Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
7687,Ariados,,168,♂,1499,137,11,14,14,86.7,31,31,Poison Sting,Trailblaze,Lunge,2026-02-18 23:45,2026-02-18 23:45,7/13/2024,,,0,0,2,15000,81.71%,750,96.73%,0,0,Ariados,,0,,,,,,,,,,,,,,,,,G
7689,Togetic,,176,♂,1499,124,0,15,13,62.2,38.5,38.5,Fairy Wind,Dazzling Gleam,Psyshock,2026-02-18 23:45,2023-12-16 22:48,12/16/2023,4.71kg,0.7m,0,0,2,15000,99.95%,3,99.71%,0,0,Togetic,,0,,,,,,,,,,,,,,,,,G
7690,Gyarados,Normal,130,♂,1499,125,0,14,15,64.4,16.5,16.5,Dragon Breath,Crunch,Aqua Tail,2026-02-18 23:45,2026-02-18 23:45,1/31/2025,,,0,0,2,1900,100.00%,1,100%,0,0,Gyarados,Normal,0,,,,,,,,,,,,,,,,,G
7692,Drapion,,452,♀,1499,118,4,11,13,62.2,23,23,Poison Sting,Crunch,Aqua Tail,2026-02-18 23:45,2026-02-18 23:45,5/23/2023,,,0,0,2,3500,97.85%,89,98.40%,0,0,Drapion,,0,,,,,,,,,,,,,,,,,G
7693,Victreebel,Normal,71,♀,1499,130,4,12,14,66.7,23,23,Magical Leaf,Sludge Bomb,Leaf Blade,2026-02-18 23:45,2024-04-20 16:47,4/20/2024,,,0,0,2,3500,98.68%,55,98.65%,0,0,Victreebel,Normal,0,,,,,,,,,,,,,,,,,G
7694,Dragonite,,149,♂,1499,112,4,15,12,68.9,14.5,14.5,Dragon Breath,Thunder Punch,Superpower,2026-02-18 23:45,2023-12-01 2:06,11/24/2023,138.77kg,1.77m,0,1,2,1921,99.83%,8,99.49%,0,0,Dragonite,Normal,1,,,,,,,,,,,,,,,,,G
7696,Ninetales,Alola,38,♀,1499,125,2,10,11,51.1,25,25,Powder Snow,Dazzling Gleam,Weather Ball,2026-02-18 23:45,2024-08-30 17:42,5/8/2023,,,0,1,2,4800,98.22%,74,98.43%,0,0,Ninetales,Alola,1,,,,,,,,,,,,,,,,,G
7697,Florges,,671,♀,1499,110,5,14,15,75.6,17,17,Fairy Wind,Trailblaze,Chilling Water,2026-02-18 23:45,2026-02-18 23:45,3/22/2024,,,0,0,2,2200,98.90%,46,98.54%,0,0,Florges,,0,,,,,,,,,,,,,,,,,G
7699,Steelix,Normal,208,♀,1499,127,0,15,14,64.4,24,24,Thunder Fang,Crunch,Psychic Fangs,2026-02-18 23:45,2024-04-05 14:40,4/5/2024,,,0,0,2,3500,99.95%,3,99.57%,0,0,Steelix,Normal,0,,,,,,,,,,,,,,,,,G
7700,Malamar,Normal,687,♂,1499,136,4,15,8,60,24,24,Psywave,Superpower,Foul Play,2026-02-18 23:45,2026-02-18 23:45,9/6/2024,,,0,0,2,3500,98.63%,57,98.72%,0,0,Malamar,Normal,0,,,,,,,,,,,,,,,,,G
7701,Morpeko,,877,♀,1499,117,10,12,15,82.2,28,28,Thunder Shock,Aura Wheel,Psychic Fangs,2026-02-18 23:45,2024-11-01 19:17,10/30/2024,3.18kg,0.3m,0,0,2,4500,92.09%,325,97.16%,0,0,Morpeko,,0,,,,,,,,,,,,,,,,,G
7702,Whimsicott,,547,♂,1499,118,4,14,13,68.9,28,28,Fairy Wind,Moonblast,Seed Bomb,2026-02-18 23:45,2024-01-01 17:10,1/1/2024,8.59kg,0.77m,0,0,2,4500,98.14%,77,98.15%,0,0,Whimsicott,,0,,,,,,,,,,,,,,,,,G
7703,Rapidash,Galar,78,♀,1499,110,10,14,13,82.2,22,22,Fairy Wind,Megahorn,Body Slam,2026-02-18 23:44,2026-02-18 23:44,9/14/2024,,,0,0,2,3000,94.77%,215,97.31%,0,0,Rapidash,Galar,0,,,,,,,,,,,,,,,,,G
7704,Golisopod,,768,♀,1499,111,0,8,15,51.1,18,18,Shadow Claw,Aqua Jet,X-Scissor,2026-02-18 23:44,2024-04-05 14:42,4/5/2024,,,0,0,2,2200,100.00%,1,100%,0,0,Golisopod,,0,,,,,,,,,,,,,,,,,G
7705,Forretress,,205,♀,1499,128,8,14,15,82.2,24,24,Bug Bite,Rock Tomb,Sand Tomb,2026-02-18 23:44,2026-02-18 23:44,1/16/2024,,,0,1,2,4200,95.78%,174,98.04%,0,0,Forretress,,1,,,,,,,,,,,,,,,,,G
7706,Feraligatr,,160,♂,1499,126,0,11,13,53.3,20,20,Shadow Claw,Hydro Cannon,Ice Beam,2026-02-18 23:44,2026-02-18 23:44,11/2/2024,,,0,0,2,2500,100.00%,1,100%,0,0,Feraligatr,,0,,,,,,,,,,,,,,,,,G
7707,Grumpig,,326,♀,1499,134,1,14,15,66.7,24,24,Psywave,Shadow Ball,Dynamic Punch,2026-02-18 23:44,2026-02-18 23:44,5/8/2025,,,0,0,2,3500,100.00%,1,100%,0,0,Grumpig,,0,,,,,,,,,,,,,,,,,G
7708,Jumpluff,,189,♀,1499,157,0,14,14,62.2,43,43,Fairy Wind,Energy Ball,Aerial Ace,2026-02-18 23:44,2024-03-11 21:24,3/11/2024,,,0,0,2,12000,100.00%,1,100%,0,0,Jumpluff,,0,,,,,,,,,,,,,,,,,G
7709,Magcargo,,219,♀,1499,119,0,11,15,57.8,39,39,Ember,Overheat,Rock Tomb,2026-02-18 23:44,2024-09-06 14:46,3/13/2024,,,0,0,2,15000,99.98%,2,99.61%,0,0,Magcargo,,0,,,,,,,,,,,,,,,,,G
7710,Vigoroth,,288,♂,1499,147,0,13,13,57.8,29.5,29.5,Counter,Rock Slide,Body Slam,2026-02-18 23:44,2024-09-06 14:52,6/7/2024,,,0,0,2,5000,99.95%,3,99.83%,0,0,Vigoroth,,0,,,,,,,,,,,,,,,,,G
7712,Medicham,Normal,308,♀,1499,142,5,15,15,77.8,50,50,Psycho Cut,Dynamic Punch,Ice Punch,2026-02-18 23:43,2023-12-01 2:09,9/23/2023,50.78kg,1.62m,0,0,2,15000,100.00%,1,100%,0,0,Medicham,Normal,0,,,,,,,,,,,,,,,,,G
7713,Wormadam,Trash,413,♀,1499,137,0,14,14,62.2,44.5,44.5,Bug Bite,Bug Buzz,Iron Head,2026-02-18 23:43,2026-02-18 23:43,2/5/2025,,,0,0,2,13000,99.98%,2,99.80%,0,0,Wormadam,Trash,0,,,,,,,,,,,,,,,,,G
7714,Greedent,,820,♀,1499,179,0,13,12,55.6,24.5,24.5,Mud Shot,Body Slam,,2026-02-18 23:43,2023-12-01 2:15,11/13/2022,3.9kg,0.48m,0,0,2,3500,99.90%,5,99.48%,0,0,Greedent,,0,,,,,,,,,,,,,,,,,G
8754,Mothim,,414,♂,1499,137,4,15,13,71.1,31.5,31.5,Air Slash,Psybeam,,2025-02-05 14:11,2023-12-01 2:11,11/7/2022,30.71kg,1.07m,0,0,2,6000,99.46%,23,99.08%,0,0,Mothim,,0,,,,,,,,,,,,,,,,,G
11,Poliwrath,,62,♀,1498,139,0,14,15,64.4,22,22,Mud Shot,Dynamic Punch,Icy Wind,2026-06-08 12:46,2026-03-28 21:23,3/25/2026,,,0,0,2,3000,100.00%,1,100%,0,0,Poliwrath,,0,,,,,,,,,,,,,,,,,G
7656,Mandibuzz,,630,♀,1498,180,0,13,15,62.2,27.5,27.5,Snarl,Shadow Ball,Foul Play,2026-02-18 23:48,2024-03-27 21:32,3/27/2024,,,0,0,2,4500,100.00%,1,100%,0,0,Mandibuzz,,0,,,,,,,,,,,,,,,,,G
7657,Carbink,,703,,1498,127,5,15,15,77.8,49.5,49.5,Rock Throw,Moonblast,Rock Slide,2026-02-18 23:48,2024-09-06 15:01,11/29/2023,,,0,0,2,15000,100.00%,1,100%,0,0,Carbink,,0,,,,,,,,,,,,,,,,,G
7658,Claydol,,344,,1498,123,0,14,15,64.4,29.5,29.5,Mud-Slap,Scorching Sands,Rock Tomb,2026-02-18 23:48,2025-03-15 10:29,3/12/2025,,,0,0,2,5000,100.00%,1,100%,0,0,Claydol,,0,,,,,,,,,,,,,,,,,G
7659,Lapras,,131,♂,1498,182,0,10,14,53.3,22,22,Psywave,Ice Beam,Sparkling Aria,2026-02-18 23:48,2026-02-18 23:48,4/9/2025,,,0,0,2,3000,100.00%,1,100%,0,0,Lapras,,0,,,,,,,,,,,,,,,,,G
7660,Dewgong,,87,♀,1498,161,0,12,15,60,29.5,29.5,Ice Shard,Icy Wind,Drill Run,2026-02-18 23:48,2023-12-13 0:09,12/12/2023,132.77kg,1.86m,0,0,2,5000,100.00%,1,100%,0,0,Dewgong,,0,,,,,,,,,,,,,,,,,G
7661,Quagsire,,195,♂,1498,166,0,14,15,64.4,29,29,Mud Shot,Stone Edge,Mud Bomb,2026-02-18 23:48,2023-12-01 2:07,12/6/2022,82.91kg,1.44m,0,0,2,5000,99.98%,2,99.97%,0,0,Quagsire,,0,,,,,,,,,,,,,,,,,G
7663,Sandslash,Alola,28,♀,1498,125,0,15,13,62.2,23.5,23.5,Powder Snow,Drill Run,Ice Punch,2026-02-18 23:48,2024-12-18 22:29,12/18/2024,,,0,0,2,3500,99.98%,2,99.68%,0,0,Sandslash,Alola,0,,,,,,,,,,,,,,,,,G
7664,Dragalge,,691,♀,1498,115,0,15,13,62.2,24,24,Acid,Outrage,Aqua Tail,2026-02-18 23:48,2024-02-09 14:17,2/9/2024,191.68kg,2.66m,0,0,2,3500,100.00%,1,100%,0,0,Dragalge,,0,,,,,,,,,,,,,,,,,G
7666,Sandslash,Alola,28,♂,1498,124,1,15,11,60,23.5,23.5,Shadow Claw,Drill Run,Ice Punch,2026-02-18 23:48,2026-02-18 23:47,12/20/2024,,,0,0,2,3500,99.88%,6,99.44%,0,0,Sandslash,Alola,0,,,,,,,,,,,,,,,,,G
7667,Meowscarada,,908,♂,1498,115,5,14,13,71.1,19.5,19.5,Leafage,Frenzy Plant,Night Slash,2026-02-18 23:47,2026-02-18 23:47,9/6/2023,,,0,0,2,2500,98.71%,54,98.48%,0,0,Meowscarada,,0,,,,,,,,,,,,,,,,,G
7668,Qwilfish,Normal,211,♂,1498,125,0,12,14,57.8,28,28,Poison Sting,Ice Beam,Aqua Tail,2026-02-18 23:47,2026-02-18 23:47,11/23/2024,,,0,0,2,4500,100.00%,1,100%,0,0,Qwilfish,Normal,0,,,,,,,,,,,,,,,,,G
7670,Jellicent,,593,♂,1498,158,1,14,14,64.4,24.5,24.5,Hex,Shadow Ball,Surf,2026-02-18 23:47,2024-05-12 23:54,5/12/2024,,,0,0,2,3500,100.00%,1,100%,0,0,Jellicent,,0,,,,,,,,,,,,,,,,,G
9428,Gothorita,,575,♂,1498,135,4,13,15,71.1,41,41,Confusion,Psychic,,2024-09-05 17:42,2023-12-01 2:13,10/1/2022,22.43kg,0.77m,0,0,2,11000,97.70%,95,98.46%,0,0,Gothorita,,0,,,,,,,,,,,,,,,,,G
12,Tinkaton,,959,♀,1497,143,1,14,14,64.4,25.5,25.5,Fairy Wind,Gigaton Hammer,Bulldoze,2026-06-08 12:46,2026-04-11 17:08,4/11/2026,179.35kg,0.87m,0,0,2,4000,100.00%,1,100%,0,0,Tinkaton,,0,,,,,,,,,,,,,,,,,G
7567,Toedscruel,,949,♀,1497,133,1,6,14,46.7,24,24,Mud-Slap,Wrap,Seed Bomb,2026-02-24 14:28,2026-02-18 23:49,8/22/2025,,,0,0,2,3500,98.68%,55,98.77%,0,0,Toedscruel,,0,,,,,,,,,,,,,,,,,G
7569,Talonflame,,663,♂,1497,134,10,7,15,71.1,25,25,Incinerate,Flame Charge,Fly,2026-02-24 14:28,2026-02-18 23:49,9/5/2025,,,0,1,2,4800,78.36%,887,96.55%,0,0,Talonflame,,1,,,,,,,,,,,,,,,,,G
7575,Charjabug,,737,♀,1497,128,0,13,15,62.2,38.5,38.5,Volt Switch,Discharge,X-Scissor,2026-02-24 14:27,2026-02-18 23:49,12/18/2025,,,0,0,2,15000,100.00%,1,100%,0,0,Charjabug,,0,,,,,,,,,,,,,,,,,G
7641,Bastiodon,,411,♂,1497,142,0,15,14,64.4,50,50,Smack Down,Stone Edge,Flamethrower,2026-02-18 23:49,2024-09-06 15:24,8/2/2023,,,0,0,2,15000,100.00%,1,100%,0,0,Bastiodon,,0,,,,,,,,,,,,,,,,,G
7642,Ninetales,Alola,38,♀,1497,126,4,10,14,62.2,24.5,24.5,Charm,Psyshock,Weather Ball,2026-02-18 23:49,2023-12-01 2:04,10/10/2023,32.19kg,1.31m,0,1,2,4200,98.05%,81,98.37%,0,0,Ninetales,Alola,1,,,,,,,,,,,,,,,,,G
7643,Togedemaru,,777,♂,1497,120,3,13,14,66.7,26,26,Thunder Shock,Wild Charge,Fell Stinger,2026-02-18 23:49,2023-12-01 2:15,8/4/2023,4.08kg,0.31m,0,0,2,4000,99.10%,38,98.84%,0,0,Togedemaru,,0,,,,,,,,,,,,,,,,,G
7644,Skeledirge,,911,♀,1497,141,3,11,15,64.4,18.5,18.5,Incinerate,Disarming Voice,Shadow Ball,2026-02-18 23:49,2023-12-01 2:15,11/13/2023,378.01kg,1.84m,0,0,2,2200,98.53%,61,98.87%,0,0,Skeledirge,,0,,,,,,,,,,,,,,,,,G
7646,Diggersby,,660,♂,1497,177,0,15,13,62.2,50,50,Quick Attack,Scorching Sands,Fire Punch,2026-02-18 23:49,2026-02-18 23:49,1/21/2024,,,0,0,2,15000,100.00%,1,100%,0,0,Diggersby,,0,,,,,,,,,,,,,,,,,G
7647,Gallade,Normal,475,♂,1497,100,0,7,3,22.2,19,19,Psycho Cut,Close Combat,Leaf Blade,2026-02-18 23:49,2026-02-18 23:49,7/2/2024,,,0,1,2,3000,94.97%,207,97.63%,0,0,Gallade,Normal,1,,,,,,,,,,,,,,,,,G
7649,Miltank,,241,♀,1497,152,0,14,14,62.2,24.5,24.5,Rollout,Thunderbolt,Body Slam,2026-02-18 23:49,2026-02-18 23:49,11/8/2024,,,0,0,2,3500,100.00%,1,100%,0,0,Miltank,,0,,,,,,,,,,,,,,,,,G
7650,Gyarados,Normal,130,♂,1497,123,1,6,8,33.3,17,17,Dragon Breath,Aqua Tail,Crunch,2026-02-18 23:49,2026-02-18 23:49,11/17/2024,,,0,1,2,2640,96.02%,164,97.74%,0,0,Gyarados,Normal,1,,,,,,,,,,,,,,,,,G
7652,Xatu,,178,♂,1497,117,2,15,9,57.8,26,26,Air Slash,Return,Aerial Ace,2026-02-18 23:49,2023-12-01 2:07,11/27/2022,12.49kg,1.31m,0,2,2,4000,99.41%,25,98.93%,0,0,Xatu,,2,,,,,,,,,,,,,,,,,G
7654,Quagsire,,195,♀,1497,164,5,10,14,64.4,28.5,28.5,Mud Shot,Aqua Tail,Stone Edge,2026-02-18 23:48,2026-02-18 23:48,8/29/2024,,,0,1,2,5400,95.26%,195,97.70%,0,0,Quagsire,,1,,,,,,,,,,,,,,,,,G
7655,Swampert,Normal,260,♀,1497,137,6,13,14,73.3,18.5,18.5,Mud Shot,Hydro Cannon,Sludge,2026-02-18 23:48,2024-09-06 14:49,6/27/2024,,,0,0,2,2200,97.97%,84,98.21%,0,0,Swampert,Normal,0,,,,,,,,,,,,,,,,,G
14,Weezing,Galar,110,♀,1496,118,3,6,14,51.1,25,25,Fairy Wind,Sludge,Brutal Swing,2026-06-08 12:45,2026-05-01 14:47,5/1/2026,,,0,1,2,18000,96.90%,128,97.87%,0,0,Weezing,Galar,1,,,,,,,,,,,,,,,,,G
7629,Forretress,,205,♂,1496,128,3,13,11,60,25,25,Bug Bite,Rock Tomb,Sand Tomb,2026-02-18 23:51,2026-02-18 23:51,2/11/2023,,,0,0,2,4000,98.39%,67,98.65%,0,0,Forretress,,0,,,,,,,,,,,,,,,,,G
7630,Sandslash,Alola,28,♂,1496,123,5,13,12,66.7,23,23,Shadow Claw,Drill Run,Ice Punch,2026-02-18 23:51,2023-12-01 2:04,8/29/2023,75.08kg,1.36m,0,1,2,4200,95.31%,193,97.77%,0,0,Sandslash,Alola,1,,,,,,,,,,,,,,,,,G
7631,Stunfisk,Galar,618,♀,1496,171,5,15,12,71.1,26,26,Mud Shot,Earthquake,,2026-02-18 23:51,2023-12-01 2:13,6/29/2023,13.11kg,0.56m,0,0,2,4000,95.04%,204,97.84%,0,0,Stunfisk,Galar,0,,,,,,,,,,,,,,,,,G
7632,Skeledirge,,911,♂,1496,141,1,15,14,66.7,18.5,18.5,Incinerate,Shadow Ball,Disarming Voice,2026-02-18 23:51,2024-04-13 0:22,4/12/2024,,,0,0,2,2200,100.00%,1,100%,0,0,Skeledirge,,0,,,,,,,,,,,,,,,,,G
7633,Marowak,Normal,105,♂,1496,124,4,14,12,66.7,32,32,Mud-Slap,Rock Slide,Bone Club,2026-02-18 23:51,2026-02-18 23:51,1/18/2025,,,0,1,2,7201,95.70%,177,97.98%,0,0,Marowak,Normal,1,,,,,,,,,,,,,,,,,G
7634,Chesnaught,,652,♂,1496,126,2,13,14,64.4,19,19,Vine Whip,Frenzy Plant,Superpower,2026-02-18 23:51,2023-12-01 2:14,1/7/2023,55.39kg,1.37m,0,0,2,2500,98.90%,46,98.79%,0,0,Chesnaught,,0,,,,,,,,,,,,,,,,,G
7635,Talonflame,,663,♀,1496,136,0,13,14,60,26,26,Incinerate,Brave Bird,Fly,2026-02-18 23:50,2024-06-05 20:01,6/5/2024,,,0,0,2,4000,100.00%,1,100%,0,0,Talonflame,,0,,,,,,,,,,,,,,,,,G
7636,Kingdra,,230,♂,1496,120,2,3,11,35.6,22,22,Dragon Breath,Outrage,Swift,2026-02-18 23:50,2026-02-18 23:50,1/17/2025,,,0,1,2,3601,93.89%,251,97.45%,0,0,Kingdra,,1,,,,,,,,,,,,,,,,,G
7638,Arctibax,,997,♀,1496,151,5,15,14,75.6,26.5,26.5,Dragon Breath,Avalanche,Icy Wind,2026-02-18 23:50,2026-02-18 23:50,12/3/2023,,,0,0,2,4000,97.29%,112,97.90%,0,0,Arctibax,,0,,,,,,,,,,,,,,,,,G
7639,Drifblim,,426,♂,1496,212,0,14,13,60,24,24,Astonish,Shadow Ball,Icy Wind,2026-02-18 23:50,2023-12-01 2:11,10/26/2022,15.46kg,1.23m,0,0,2,3500,99.85%,7,99.15%,0,0,Drifblim,,0,,,,,,,,,,,,,,,,,G
9348,Snorlax,,143,♂,1496,192,2,12,14,62.2,17.5,17.5,Lick,Outrage,,2024-09-06 14:39,2023-12-01 2:06,11/12/2022,481.35kg,1.97m,0,0,2,2200,99.17%,35,98.88%,0,0,Snorlax,,0,,,,,,,,,,,,,,,,,G
13,Dusknoir,,477,♀,1495,93,0,9,15,53.3,24,24,Astonish,Dynamic Punch,Shadow Punch,2026-06-08 12:46,2026-04-18 12:43,4/18/2026,,,0,1,2,4200,99.76%,11,99.20%,0,0,Dusknoir,,1,,,,,,,,,,,,,,,,,G
7614,Lanturn,,171,♀,1495,194,7,14,15,80,26.5,26.5,Spark,Thunderbolt,Surf,2026-02-18 23:52,2023-12-01 2:07,10/17/2022,16.77kg,1.01m,0,0,2,4000,91.11%,365,97.33%,0,0,Lanturn,,0,,,,,,,,,,,,,,,,,G
7615,Gligar,,207,♀,1495,129,5,13,12,66.7,31,31,Fury Cutter,Dig,Night Slash,2026-02-18 23:52,2026-02-18 23:52,2/26/2024,,,0,1,2,18000,91.65%,343,97.69%,0,0,Gligar,,1,,,,,,,,,,,,,,,,,G
7616,Turtonator,,776,♂,1495,114,3,10,15,62.2,25.5,25.5,Ember,Overheat,Brutal Swing,2026-02-18 23:52,2026-02-18 23:52,4/29/2024,,,0,0,2,4000,97.17%,117,98.12%,0,0,Turtonator,,0,,,,,,,,,,,,,,,,,G
7618,Lurantis,,754,♀,1495,119,5,14,15,75.6,23,23,Fury Cutter,Leaf Blade,Superpower,2026-02-18 23:52,2023-12-01 2:15,5/7/2023,23.32kg,0.96m,0,0,2,3500,97.26%,113,98.22%,0,0,Lurantis,,0,,,,,,,,,,,,,,,,,G
7619,Skuntank,,435,♂,1495,160,0,15,15,66.7,24,24,Poison Jab,Trailblaze,Crunch,2026-02-18 23:52,2024-09-08 18:57,9/8/2024,,,0,1,2,4200,100.00%,1,100%,0,0,Skuntank,,1,,,,,,,,,,,,,,,,,G
7620,Sealeo,,364,♀,1495,168,5,15,14,75.6,35.5,35.5,Powder Snow,Surf,Body Slam,2026-02-18 23:52,2023-12-01 2:10,9/18/2022,91.75kg,1.08m,0,0,2,15000,91.16%,363,97.52%,0,0,Sealeo,,0,,,,,,,,,,,,,,,,,G
7621,Galvantula,,596,♀,1495,126,0,15,15,66.7,25.5,25.5,Volt Switch,Lunge,Discharge,2026-02-18 23:52,2023-12-01 2:13,1/6/2023,8.8kg,0.66m,0,0,2,15000,100.00%,1,100%,0,0,Galvantula,,0,,,,,,,,,,,,,,,,,G
7622,Heatran,,485,♂,1495,109,6,10,3,42.2,15,15,Fire Spin,Magma Storm,Iron Head,2026-02-18 23:52,2025-03-02 21:58,2/22/2024,616.05kg,1.99m,0,0,2,1900,84.22%,647,97.03%,0,0,Heatran,,0,,,,,,,,,,,,,,,,,G
7623,Lucario,Normal,448,♂,1495,111,10,12,14,80,20,20,Force Palm,Shadow Ball,Aura Sphere,2026-02-18 23:52,2024-07-28 13:31,7/27/2024,6.58kg,0.6m,0,0,2,2500,93.75%,257,97.60%,0,0,Lucario,Normal,0,,,,,,,,,,,,,,,,,G
7625,Sandslash,Alola,28,♂,1495,124,7,14,15,80,22.5,22.5,Powder Snow,Drill Run,Ice Punch,2026-02-18 23:52,2023-12-01 2:04,10/7/2022,70.93kg,1.48m,0,1,2,3601,96.39%,149,97.95%,0,0,Sandslash,Alola,1,,,,,,,,,,,,,,,,,G
7626,Tinkaton,,959,♀,1495,141,3,10,12,55.6,25.5,25.5,Fairy Wind,Play Rough,Bulldoze,2026-02-18 23:52,2025-05-17 20:29,4/21/2025,,,0,0,2,4000,95.04%,204,97.96%,0,0,Tinkaton,,0,,,,,,,,,,,,,,,,,G
7627,Greninja,,658,♂,1495,116,1,15,14,66.7,21,21,Water Shuriken,Hydro Cannon,Night Slash,2026-02-18 23:52,2024-09-06 15:04,8/13/2023,,,0,0,2,3000,99.98%,2,99.98%,0,0,Greninja,,0,,,,,,,,,,,,,,,,,G
9464,Dugtrio,Normal,51,♂,1495,100,5,14,15,75.6,41,41,Mud-Slap,Earthquake,,2024-08-30 17:43,2023-12-01 2:04,9/30/2022,25.52kg,0.63m,0,0,2,11000,97.53%,102,98.56%,0,0,Dugtrio,Normal,0,,,,,,,,,,,,,,,,,G
7607,Umbreon,,197,♂,1494,161,0,14,14,62.2,27.5,27.5,Snarl,Dark Pulse,Foul Play,2026-02-18 23:52,2023-12-01 2:07,3/7/2023,35.73kg,1.03m,0,0,2,4500,99.95%,3,99.61%,0,0,Umbreon,,0,,,,,,,,,,,,,,,,,G
7608,Girafarig,,203,♀,1494,129,5,15,14,75.6,27,27,Tackle,Thunderbolt,Trailblaze,2026-02-18 23:52,2023-12-01 2:07,5/9/2023,25.14kg,1.24m,0,0,2,4500,98.75%,52,98.31%,0,0,Girafarig,,0,,,,,,,,,,,,,,,,,G
7609,Escavalier,,589,♀,1494,107,10,15,15,88.9,18.5,18.5,Counter,Aerial Ace,Drill Run,2026-02-18 23:52,2023-12-01 2:13,11/7/2023,41.45kg,1.12m,0,0,2,2200,94.65%,220,97.31%,0,0,Escavalier,,0,,,,,,,,,,,,,,,,,G
7611,Ninetales,Normal,38,♀,1494,125,5,13,13,68.9,24.5,24.5,Fire Spin,Weather Ball,,2026-02-18 23:52,2023-12-01 2:04,3/4/2023,23.87kg,1.21m,0,0,2,3500,94.33%,233,97.57%,0,0,Ninetales,Normal,0,,,,,,,,,,,,,,,,,G
7612,Quagsire,,195,♂,1494,159,5,14,7,57.8,28.5,28.5,Mud Shot,Aqua Tail,Stone Edge,2026-02-18 23:52,2026-02-18 23:52,3/13/2024,,,0,1,2,5400,91.40%,353,97.20%,0,0,Quagsire,,1,,,,,,,,,,,,,,,,,G
7613,Toxicroak,,454,♂,1494,130,6,15,13,75.6,22,22,Counter,Mud Bomb,Sludge Bomb,2026-02-18 23:52,2023-12-01 2:11,9/29/2022,44.24kg,1.31m,0,0,2,3000,97.80%,91,97.83%,0,0,Toxicroak,,0,,,,,,,,,,,,,,,,,G
7600,Noctowl,,164,♀,1493,169,1,14,13,62.2,28.5,28.5,Wing Attack,Sky Attack,Shadow Ball,2026-02-18 23:53,2023-12-01 2:07,11/29/2022,39.81kg,1.61m,0,0,2,4500,99.34%,28,98.83%,0,0,Noctowl,,0,,,,,,,,,,,,,,,,,G
7601,Nidoqueen,,31,♀,1493,141,3,6,14,51.1,23,23,Mud-Slap,Stone Edge,Poison Fang,2026-02-18 23:53,2026-02-18 23:53,10/17/2024,,,0,1,2,4200,92.26%,318,97.49%,0,0,Nidoqueen,,1,,,,,,,,,,,,,,,,,G
7602,Jumpluff,,189,♂,1493,155,2,13,14,64.4,41.5,41.5,Fairy Wind,Acrobatics,Energy Ball,2026-02-18 23:53,2026-02-18 23:53,11/3/2024,,,0,1,2,13200,95.60%,181,98.04%,0,0,Jumpluff,,1,,,,,,,,,,,,,,,,,G
7603,Tropius,,357,♀,1493,174,1,9,14,53.3,30.5,30.5,Razor Leaf,Leaf Blade,Aerial Ace,2026-02-18 23:53,2026-02-18 23:53,2/26/2023,,,0,0,2,15000,97.24%,114,98.15%,0,0,Tropius,,0,,,,,,,,,,,,,,,,,G
7606,Trevenant,,709,♂,1493,131,6,12,15,73.3,21.5,21.5,Shadow Claw,Shadow Ball,Seed Bomb,2026-02-18 23:53,2023-12-01 2:14,10/20/2022,55.32kg,1.33m,0,0,2,3000,92.58%,305,97.37%,0,0,Trevenant,,0,,,,,,,,,,,,,,,,,G
8328,Cresselia,,488,♀,1493,156,5,13,2,44.4,20,20,Confusion,Grass Knot,,2025-11-18 16:59,2025-03-02 22:08,2/20/2024,91.93kg,1.52m,0,0,2,2500,80.78%,788,96.86%,0,0,Cresselia,,0,,,,,,,,,,,,,,,,,G
7597,Clodsire,,980,♂,1492,213,0,14,15,64.4,30,30,Poison Sting,Earthquake,Sludge Bomb,2026-02-18 23:53,2024-01-06 1:05,12/17/2023,301.4kg,2.21m,0,0,2,5000,99.41%,25,99.17%,0,0,Clodsire,,0,,,,,,,,,,,,,,,,,G
8329,Cresselia,,488,♀,1492,161,2,15,10,60,20,20,Psycho Cut,Aurora Beam,,2025-11-18 16:59,2025-03-25 12:01,2/28/2024,116.95kg,1.66m,0,0,2,2500,98.00%,83,98.77%,0,0,Cresselia,,0,,,,,,,,,,,,,,,,,G
9423,Typhlosion,Normal,157,♀,1492,117,4,14,15,73.3,19,19,Incinerate,Blast Burn,,2024-09-05 17:47,2024-09-05 17:46,10/27/2022,104.04kg,1.9m,0,0,2,2500,99.29%,30,98.66%,0,0,Typhlosion,Normal,0,,,,,,,,,,,,,,,,,G
8614,Tapu Fini,,788,,1491,109,3,5,11,42.2,20,20,Water Gun,Nature's Madness,,2025-03-30 14:39,2025-03-30 13:36,5/8/2024,15.63kg,1.11m,0,0,2,2500,91.58%,346,97.13%,0,0,Tapu Fini,,0,,,,,,,,,,,,,,,,,G
